"compute_time","Datasets","modality","compute time(hrs)"
2275,"NKI","perf",0.631944444444444
297,"NKI","perf",0.0825
2021,"NKI","perf",0.561388888888889
2690,"NKI","perf",0.747222222222222
325,"NKI","perf",0.0902777777777778
341,"NKI","perf",0.0947222222222222
337,"NKI","perf",0.0936111111111111
1589,"NKI","perf",0.441388888888889
2530,"NKI","perf",0.702777777777778
1704,"NKI","perf",0.473333333333333
320,"NKI","perf",0.0888888888888889
342,"NKI","perf",0.095
297,"NKI","perf",0.0825
2586,"NKI","perf",0.718333333333333
3,"NKI","perf",0.000833333333333333
324,"NKI","perf",0.09
350,"NKI","perf",0.0972222222222222
338,"NKI","perf",0.0938888888888889
1493,"NKI","perf",0.414722222222222
2756,"NKI","perf",0.765555555555556
314,"NKI","perf",0.0872222222222222
319,"NKI","perf",0.0886111111111111
337,"NKI","perf",0.0936111111111111
3220,"NKI","perf",0.894444444444444
2730,"NKI","perf",0.758333333333333
300,"NKI","perf",0.0833333333333333
338,"NKI","perf",0.0938888888888889
2114,"NKI","perf",0.587222222222222
1646,"NKI","perf",0.457222222222222
1653,"NKI","perf",0.459166666666667
319,"NKI","perf",0.0886111111111111
2697,"NKI","perf",0.749166666666667
335,"NKI","perf",0.0930555555555556
1710,"NKI","perf",0.475
2775,"NKI","perf",0.770833333333333
297,"NKI","perf",0.0825
336,"NKI","perf",0.0933333333333333
344,"NKI","perf",0.0955555555555556
1565,"NKI","perf",0.434722222222222
2951,"NKI","perf",0.819722222222222
2188,"NKI","perf",0.607777777777778
350,"NKI","perf",0.0972222222222222
1930,"NKI","perf",0.536111111111111
1660,"NKI","perf",0.461111111111111
1700,"NKI","perf",0.472222222222222
336,"NKI","perf",0.0933333333333333
2014,"NKI","perf",0.559444444444444
335,"NKI","perf",0.0930555555555556
2762,"NKI","perf",0.767222222222222
2360,"NKI","perf",0.655555555555556
341,"NKI","perf",0.0947222222222222
312,"NKI","perf",0.0866666666666667
2744,"NKI","perf",0.762222222222222
1569,"NKI","perf",0.435833333333333
2851,"NKI","perf",0.791944444444444
340,"NKI","perf",0.0944444444444444
309,"NKI","perf",0.0858333333333333
827,"NKI","perf",0.229722222222222
344,"NKI","perf",0.0955555555555556
1712,"NKI","perf",0.475555555555556
336,"NKI","perf",0.0933333333333333
2245,"NKI","perf",0.623611111111111
1548,"NKI","perf",0.43
1188,"NKI","perf",0.33
1222,"NKI","perf",0.339444444444444
327,"NKI","perf",0.0908333333333333
346,"NKI","perf",0.0961111111111111
1677,"NKI","perf",0.465833333333333
3180,"NKI","perf",0.883333333333333
2564,"NKI","perf",0.712222222222222
350,"NKI","perf",0.0972222222222222
952,"NKI","perf",0.264444444444444
287,"NKI","perf",0.0797222222222222
3610,"NKI","perf",1.00277777777778
2855,"NKI","perf",0.793055555555556
348,"NKI","perf",0.0966666666666667
348,"NKI","perf",0.0966666666666667
1679,"NKI","perf",0.466388888888889
1594,"NKI","perf",0.442777777777778
2485,"NKI","perf",0.690277777777778
343,"NKI","perf",0.0952777777777778
325,"NKI","perf",0.0902777777777778
1661,"NKI","perf",0.461388888888889
1599,"NKI","perf",0.444166666666667
2262,"NKI","perf",0.628333333333333
341,"NKI","perf",0.0947222222222222
346,"NKI","perf",0.0961111111111111
349,"NKI","perf",0.0969444444444444
1633,"NKI","perf",0.453611111111111
1611,"NKI","perf",0.4475
327,"NKI","perf",0.0908333333333333
331,"NKI","perf",0.0919444444444444
2832,"NKI","perf",0.786666666666667
341,"NKI","perf",0.0947222222222222
1684,"NKI","perf",0.467777777777778
323,"NKI","perf",0.0897222222222222
359,"NKI","perf",0.0997222222222222
1447,"NKI","perf",0.401944444444444
3073,"NKI","perf",0.853611111111111
1572,"NKI","perf",0.436666666666667
344,"NKI","perf",0.0955555555555556
336,"NKI","perf",0.0933333333333333
1697,"NKI","perf",0.471388888888889
332,"NKI","perf",0.0922222222222222
2,"NKI","perf",0.000555555555555556
346,"NKI","perf",0.0961111111111111
339,"NKI","perf",0.0941666666666667
1617,"NKI","perf",0.449166666666667
2449,"NKI","perf",0.680277777777778
1636,"NKI","perf",0.454444444444444
1883,"NKI","perf",0.523055555555556
3818,"NKI","perf",1.06055555555556
1641,"NKI","perf",0.455833333333333
2747,"NKI","perf",0.763055555555556
2289,"NKI","perf",0.635833333333333
3013,"NKI","perf",0.836944444444444
4045,"NKI","perf",1.12361111111111
1658,"NKI","perf",0.460555555555556
3613,"NKI","perf",1.00361111111111
2856,"NKI","perf",0.793333333333333
341,"NKI","perf",0.0947222222222222
339,"NKI","perf",0.0941666666666667
3663,"NKI","perf",1.0175
2706,"NKI","perf",0.751666666666667
2754,"NKI","perf",0.765
337,"NKI","perf",0.0936111111111111
3859,"NKI","perf",1.07194444444444
1593,"NKI","perf",0.4425
2645,"NKI","perf",0.734722222222222
2674,"NKI","perf",0.742777777777778
942,"NKI","perf",0.261666666666667
342,"NKI","perf",0.095
1489,"NKI","perf",0.413611111111111
2464,"NKI","perf",0.684444444444444
2670,"NKI","perf",0.741666666666667
342,"NKI","perf",0.095
349,"NKI","perf",0.0969444444444444
2408,"NKI","perf",0.668888888888889
3318,"NKI","perf",0.921666666666667
1590,"NKI","perf",0.441666666666667
328,"NKI","perf",0.0911111111111111
342,"NKI","perf",0.095
3962,"NKI","perf",1.10055555555556
3150,"NKI","perf",0.875
3564,"NKI","perf",0.99
295,"NKI","perf",0.0819444444444444
323,"NKI","perf",0.0897222222222222
3359,"NKI","perf",0.933055555555556
1733,"NKI","perf",0.481388888888889
3747,"NKI","perf",1.04083333333333
351,"NKI","perf",0.0975
348,"NKI","perf",0.0966666666666667
282,"NKI","perf",0.0783333333333333
1746,"NKI","perf",0.485
2244,"NKI","perf",0.623333333333333
324,"NKI","perf",0.09
329,"NKI","perf",0.0913888888888889
1669,"NKI","perf",0.463611111111111
1450,"NKI","perf",0.402777777777778
2,"NKI","perf",0.000555555555555556
321,"NKI","perf",0.0891666666666667
331,"NKI","perf",0.0919444444444444
1634,"NKI","perf",0.453888888888889
2515,"NKI","perf",0.698611111111111
1875,"NKI","perf",0.520833333333333
